Country,Region,Education and skills,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction,Overall
Austria,Burgenland,8.65,8.08,5.44,10,6.85,3.26,8.77,7.83,5.86,8.25,7.78,7.34
Austria,Lower Austria,8.38,8.7,5.53,9.89,6.94,3.49,8.83,8.5,5.63,7.77,8.15,7.44
Austria,Vienna,8.4,5.28,5,9.43,6.12,1.79,7.04,8.5,4.08,7.57,7.78,6.45
Austria,Carinthia,8.95,7.98,5.14,10,7.35,5.18,7.54,7.83,5.8,8.45,8.15,7.49
Austria,Styria,8.52,8.28,5.21,10,7.26,4.59,7.8,8.67,5,8.69,8.52,7.5
Austria,Upper Austria,8.04,9.1,5.33,9.89,7.52,4.22,8.21,8.33,5.63,8.84,8.52,7.6
Austria,Salzburg,8.63,9.21,5.47,10,8.07,5.28,7.99,8.33,4.71,8.61,8.15,7.68
Austria,Tyrol,8.15,9.17,5.24,10,8.84,6.42,7.1,8.5,4.6,9.64,8.89,7.87
Austria,Vorarlberg,7.81,9.17,5.62,10,8.13,5.96,6.24,8.17,5,8.13,7.41,7.42
Australia,New South Wales,8.09,8.18,6.81,9.54,6.12,9.22,10,7.83,7.87,8.88,7.78,8.21
Australia,Victoria,8.2,8.1,5.66,9.31,9.04,9.59,10,8,9.6,9.32,8.52,8.67
Australia,Queensland,7.58,7.65,5.71,9.54,8.37,9.27,10,8,7.87,8.61,8.15,8.25
Australia,South Australia,7.31,7.32,5.65,9.2,8.38,9.72,10,7.33,7.87,8.61,8.52,8.17
Australia,Western Australia,7.65,8.27,6.87,9.08,8.63,8.21,10,8.33,9.6,8.45,7.78,8.44
Australia,Tasmania,6.2,7.04,5.31,8.74,7.43,10,10,7.17,9.6,8.61,9.63,8.16
Australia,Northern Territory,7.74,9.14,8.52,10,6.71,7.94,8.13,8.5,9.6,10,7.04,8.48
Australia,Canberra Capital Region,9.29,9.56,10,10,9.57,10,10,9.33,9.6,9.76,9.63,9.7
Belgium,Brussels-Capital Region,7.06,2.91,3.81,7.93,6.73,5.09,9.96,7.67,6.6,7.33,6.3,6.49
Belgium,Flemish Region (Vlaams Gewest),8.16,7.79,4.64,9.31,8.27,4.82,10,8,7.7,9.04,7.78,7.77
Belgium,Wallonia (Région wallonne),7.5,4.63,3.83,8.05,5.35,5.32,9.4,7.33,7.91,7.33,6.3,6.63
Canada,Newfoundland and Labrador,8.65,4.37,4.98,9.54,4.82,10,3.72,8.3,10,7.93,10,7.48
Canada,Prince Edward Island,8.63,6.68,4.44,10,6.74,10,7.84,8.35,9.6,4.26,10,7.87
Canada,Nova Scotia,9.02,6.94,4.44,7.93,6.07,10,5.91,7.88,10,8.05,8.52,7.71
